"test","p_value","rejected","seed","dgp","n","rep_ok","error_msg","scenario_id","scenario_lbl","sweep_type","sigma_tau","rep"
"seq_rate",0.730773489110595,FALSE,1001,"null",200,TRUE,NA,1,"null","main",NA,1
"calibration",0.99999318617451,FALSE,1001,"null",200,TRUE,NA,1,"null","main",NA,1
"high_low",0.00053903582957961,TRUE,1001,"null",200,TRUE,NA,1,"null","main",NA,1
"oob_2sided",1.11231960674831e-06,TRUE,1001,"null",200,TRUE,NA,1,"null","main",NA,1
"oob_1sided",0.999999443840197,FALSE,1001,"null",200,TRUE,NA,1,"null","main",NA,1
"seq_rate",0.191022476638987,FALSE,1002,"null",200,TRUE,NA,1,"null","main",NA,2
"calibration",0.999873823581582,FALSE,1002,"null",200,TRUE,NA,1,"null","main",NA,2
"high_low",0.0013253905845607,TRUE,1002,"null",200,TRUE,NA,1,"null","main",NA,2
"oob_2sided",3.60317026313628e-05,TRUE,1002,"null",200,TRUE,NA,1,"null","main",NA,2
"oob_1sided",0.999981984148684,FALSE,1002,"null",200,TRUE,NA,1,"null","main",NA,2
"seq_rate",0.140986285501092,FALSE,1003,"null",200,TRUE,NA,1,"null","main",NA,3
"calibration",0.999999999988838,FALSE,1003,"null",200,TRUE,NA,1,"null","main",NA,3
"high_low",1.65551718796254e-06,TRUE,1003,"null",200,TRUE,NA,1,"null","main",NA,3
"oob_2sided",7.60753943818747e-08,TRUE,1003,"null",200,TRUE,NA,1,"null","main",NA,3
"oob_1sided",0.999999961962303,FALSE,1003,"null",200,TRUE,NA,1,"null","main",NA,3
"seq_rate",0.407042577665491,FALSE,1004,"null",200,TRUE,NA,1,"null","main",NA,4
"calibration",0.996649503037797,FALSE,1004,"null",200,TRUE,NA,1,"null","main",NA,4
"high_low",0.0461669184426648,TRUE,1004,"null",200,TRUE,NA,1,"null","main",NA,4
"oob_2sided",0.0355746383567996,TRUE,1004,"null",200,TRUE,NA,1,"null","main",NA,4
"oob_1sided",0.9822126808216,FALSE,1004,"null",200,TRUE,NA,1,"null","main",NA,4
"seq_rate",0.697552710810436,FALSE,1005,"null",200,TRUE,NA,1,"null","main",NA,5
"calibration",0.786475362588061,FALSE,1005,"null",200,TRUE,NA,1,"null","main",NA,5
"high_low",0.85247740091343,FALSE,1005,"null",200,TRUE,NA,1,"null","main",NA,5
"oob_2sided",0.194489520125841,FALSE,1005,"null",200,TRUE,NA,1,"null","main",NA,5
"oob_1sided",0.902755239937079,FALSE,1005,"null",200,TRUE,NA,1,"null","main",NA,5
"seq_rate",0.303222979157675,FALSE,1006,"null",200,TRUE,NA,1,"null","main",NA,6
"calibration",0.986602492467795,FALSE,1006,"null",200,TRUE,NA,1,"null","main",NA,6
"high_low",0.389883886870264,FALSE,1006,"null",200,TRUE,NA,1,"null","main",NA,6
"oob_2sided",0.0134924406397459,TRUE,1006,"null",200,TRUE,NA,1,"null","main",NA,6
"oob_1sided",0.993253779680127,FALSE,1006,"null",200,TRUE,NA,1,"null","main",NA,6
"seq_rate",0.279316135292746,FALSE,1007,"null",200,TRUE,NA,1,"null","main",NA,7
"calibration",0.999940856032217,FALSE,1007,"null",200,TRUE,NA,1,"null","main",NA,7
"high_low",0.0777289069103849,FALSE,1007,"null",200,TRUE,NA,1,"null","main",NA,7
"oob_2sided",0.000455935491355705,TRUE,1007,"null",200,TRUE,NA,1,"null","main",NA,7
"oob_1sided",0.999772032254322,FALSE,1007,"null",200,TRUE,NA,1,"null","main",NA,7
"seq_rate",0.190613323135282,FALSE,1008,"null",200,TRUE,NA,1,"null","main",NA,8
"calibration",0.999852919930018,FALSE,1008,"null",200,TRUE,NA,1,"null","main",NA,8
