"scenario","sweep_type","n","sigma_tau","test","rej_rate","mc_se","ci_lo","ci_hi","n_reps_used","n_na"
"null","main",200,NA,"seq_rate",0,0,0,0,20,0
"null","main",200,NA,"calibration",0,0,0,0,20,0
"null","main",200,NA,"high_low",0.45,0.111242977306435,0.231963764479388,0.668036235520613,20,0
"null","main",200,NA,"oob_2sided",0.7,0.102469507659596,0.499159764987192,0.900840235012808,20,0
"null","main",200,NA,"oob_1sided",0,0,0,0,20,0
"null","main",300,NA,"seq_rate",0,0,0,0,20,0
"null","main",300,NA,"calibration",0,0,0,0,20,0
"null","main",300,NA,"high_low",0.35,0.106653645038508,0.140958855724525,0.559041144275475,20,0
"null","main",300,NA,"oob_2sided",0.4,0.109544511501033,0.185292757457975,0.614707242542025,20,0
"null","main",300,NA,"oob_1sided",0,0,0,0,20,0
"nw1","main",200,0.15,"seq_rate",0.05,0.0487339717240448,0,0.145518584579128,20,0
"nw1","main",200,0.15,"calibration",0,0,0,0,20,0
"nw1","main",200,0.15,"high_low",0.4,0.109544511501033,0.185292757457975,0.614707242542025,20,0
"nw1","main",200,0.15,"oob_2sided",0.4,0.109544511501033,0.185292757457975,0.614707242542025,20,0
"nw1","main",200,0.15,"oob_1sided",0,0,0,0,20,0
"nw1","main",300,0.15,"seq_rate",0,0,0,0,20,0
"nw1","main",300,0.15,"calibration",0,0,0,0,20,0
"nw1","main",300,0.15,"high_low",0.1,0.0670820393249937,0,0.231480797076988,20,0
"nw1","main",300,0.15,"oob_2sided",0.35,0.106653645038508,0.140958855724525,0.559041144275475,20,0
"nw1","main",300,0.15,"oob_1sided",0,0,0,0,20,0
"sparse","main",200,NA,"seq_rate",0.25,0.0968245836551854,0.0602238160358366,0.439776183964163,20,0
"sparse","main",200,NA,"calibration",0.65,0.106653645038508,0.440958855724525,0.859041144275475,20,0
"sparse","main",200,NA,"high_low",0.4,0.109544511501033,0.185292757457975,0.614707242542025,20,0
"sparse","main",200,NA,"oob_2sided",0.35,0.106653645038508,0.140958855724525,0.559041144275475,20,0
"sparse","main",200,NA,"oob_1sided",0.35,0.106653645038508,0.140958855724525,0.559041144275475,20,0
"sparse","main",300,NA,"seq_rate",0.75,0.0968245836551854,0.560223816035837,0.939776183964163,20,0
"sparse","main",300,NA,"calibration",1,0,1,1,20,0
"sparse","main",300,NA,"high_low",0.7,0.102469507659596,0.499159764987192,0.900840235012808,20,0
"sparse","main",300,NA,"oob_2sided",0.6,0.109544511501033,0.385292757457975,0.814707242542025,20,0
"sparse","main",300,NA,"oob_1sided",0.6,0.109544511501033,0.385292757457975,0.814707242542025,20,0
"strong","main",200,NA,"seq_rate",1,0,1,1,20,0
"strong","main",200,NA,"calibration",1,0,1,1,20,0
"strong","main",200,NA,"high_low",1,0,1,1,20,0
"strong","main",200,NA,"oob_2sided",1,0,1,1,20,0
"strong","main",200,NA,"oob_1sided",1,0,1,1,20,0
"strong","main",300,NA,"seq_rate",1,0,1,1,20,0
"strong","main",300,NA,"calibration",1,0,1,1,20,0
"strong","main",300,NA,"high_low",1,0,1,1,20,0
"strong","main",300,NA,"oob_2sided",1,0,1,1,20,0
"strong","main",300,NA,"oob_1sided",1,0,1,1,20,0
"nw1_sweep_s0","signal_sweep",300,0,"seq_rate",0.15,0.0798435971133566,0,0.306493450342179,20,0
"nw1_sweep_s0","signal_sweep",300,0,"calibration",0.05,0.0487339717240448,0,0.145518584579128,20,0
"nw1_sweep_s0","signal_sweep",300,0,"high_low",0.5,0.111803398874989,0.280865338205021,0.719134661794979,20,0
"nw1_sweep_s0","signal_sweep",300,0,"oob_2sided",0.45,0.111242977306435,0.231963764479388,0.668036235520613,20,0
"nw1_sweep_s0","signal_sweep",300,0,"oob_1sided",0.05,0.0487339717240448,0,0.145518584579128,20,0
"nw1_sweep_s0.5","signal_sweep",300,0.5,"seq_rate",0.15,0.0798435971133566,0,0.306493450342179,20,0
"nw1_sweep_s0.5","signal_sweep",300,0.5,"calibration",0.1,0.0670820393249937,0,0.231480797076988,20,0
"nw1_sweep_s0.5","signal_sweep",300,0.5,"high_low",0.15,0.0798435971133566,0,0.306493450342179,20,0
"nw1_sweep_s0.5","signal_sweep",300,0.5,"oob_2sided",0.15,0.0798435971133566,0,0.306493450342179,20,0
"nw1_sweep_s0.5","signal_sweep",300,0.5,"oob_1sided",0.1,0.0670820393249937,0,0.231480797076988,20,0
"nw1_sweep_s1","signal_sweep",300,1,"seq_rate",0.25,0.0968245836551854,0.0602238160358366,0.439776183964163,20,0
"nw1_sweep_s1","signal_sweep",300,1,"calibration",0.45,0.111242977306435,0.231963764479388,0.668036235520613,20,0
"nw1_sweep_s1","signal_sweep",300,1,"high_low",0.45,0.111242977306435,0.231963764479388,0.668036235520613,20,0
"nw1_sweep_s1","signal_sweep",300,1,"oob_2sided",0.3,0.102469507659596,0.0991597649871919,0.500840235012808,20,0
"nw1_sweep_s1","signal_sweep",300,1,"oob_1sided",0.45,0.111242977306435,0.231963764479388,0.668036235520613,20,0
